City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
88,Znamenskoye,RU,2022-05-16 18:06:52,57.1281,73.8282,56.19,87,75,9.22
89,Inongo,CD,2022-05-16 18:06:52,-1.95,18.2667,77.31,73,56,0.65
90,Kardla,EE,2022-05-16 18:06:53,58.9978,22.7492,46.06,71,1,18.19
91,Lufilufi,WS,2022-05-16 18:06:53,-13.8745,-171.5986,74.98,76,88,14.81
92,Wanaka,NZ,2022-05-16 18:06:54,-44.7,169.15,51.51,92,49,6.13
93,Strezhevoy,RU,2022-05-16 18:06:55,60.7333,77.5889,56.28,76,100,10.51
94,Guerrero Negro,MX,2022-05-16 18:06:55,27.9769,-114.0611,66.38,66,76,18.63
95,Takhtamygda,RU,2022-05-16 18:06:56,54.1,123.5667,29.1,65,66,3.47
96,Souillac,MU,2022-05-16 18:06:57,-20.5167,57.5167,74.23,76,41,13.09
97,Hithadhoo,MV,2022-05-16 18:06:57,-0.6,73.0833,83.55,76,84,15.03
98,Hilo,US,2022-05-16 18:06:58,19.7297,-155.09,80.28,91,100,5.99
99,Taltal,CL,2022-05-16 18:06:59,-25.4,-70.4833,64.33,69,100,7.9
100,Xai-Xai,MZ,2022-05-16 18:06:59,-25.0519,33.6442,69.69,79,0,6.06
101,Yulara,AU,2022-05-16 18:07:00,-25.2406,130.9889,58.66,38,72,11.83
102,Lavrentiya,RU,2022-05-16 18:07:00,65.5833,-171.0,22.53,79,54,3.71
103,Maridi,SS,2022-05-16 18:07:01,4.9158,29.4742,69.73,88,65,1.14
104,Morehead,US,2022-05-16 18:07:02,37.2711,-87.1764,75.85,43,0,5.01
105,Port Hardy,CA,2022-05-16 18:07:02,50.6996,-127.4199,49.12,64,38,7.18
106,Bacolod,PH,2022-05-16 18:07:03,10.6667,122.95,79.3,81,61,3.06
107,Kresttsy,RU,2022-05-16 18:07:03,58.2452,32.5165,44.53,96,100,6.55
108,Cabo San Lucas,MX,2022-05-16 18:03:41,22.8909,-109.9124,90.7,35,40,8.05
109,Brawley,US,2022-05-16 18:07:04,32.9787,-115.5303,98.85,10,0,4.61
110,Avarua,CK,2022-05-16 18:07:05,-21.2078,-159.775,77.05,73,75,3.44
111,Sitka,US,2022-05-16 18:07:05,57.0531,-135.33,44.49,81,75,9.22
112,Carutapera,BR,2022-05-16 18:07:06,-1.195,-46.02,86.14,68,79,9.86
113,Nampula,MZ,2022-05-16 18:07:06,-15.1165,39.2666,69.22,78,79,5.7
114,Chuy,UY,2022-05-16 18:07:07,-33.6971,-53.4616,57.47,66,55,18.16
115,Srednekolymsk,RU,2022-05-16 18:07:07,67.45,153.6833,33.26,99,100,4.79
116,Isangel,VU,2022-05-16 18:07:08,-19.55,169.2667,75.63,78,83,15.66
117,Qandala,SO,2022-05-16 18:07:09,11.472,49.8728,88.74,40,4,3.91
118,Cape Town,ZA,2022-05-16 18:04:31,-33.9258,18.4232,73.9,32,43,7.0
119,Ketchikan,US,2022-05-16 18:06:04,55.3422,-131.6461,44.58,79,64,13.0
120,Cidreira,BR,2022-05-16 18:07:10,-30.1811,-50.2056,58.66,60,3,20.04
121,Bosaso,SO,2022-05-16 18:07:11,11.2842,49.1816,86.77,41,64,3.11
122,Ahuimanu,US,2022-05-16 18:07:11,21.4447,-157.8378,78.51,84,100,6.91
123,Mareeba,AU,2022-05-16 18:07:12,-17.0,145.4333,64.44,94,2,1.54
124,Severo-Kurilsk,RU,2022-05-16 18:07:13,50.6789,156.125,35.98,96,89,10.0
125,Carnarvon,AU,2022-05-16 18:07:13,-24.8667,113.6333,70.45,58,0,10.45
126,Manavalakurichi,IN,2022-05-16 18:07:14,8.1333,77.3,79.7,87,100,14.76
127,Bethel,US,2022-05-16 18:07:14,41.3712,-73.414,78.19,76,75,10.36
128,Bredasdorp,ZA,2022-05-16 18:07:15,-34.5322,20.0403,67.33,26,3,4.23
129,Hamilton,US,2022-05-16 18:07:16,39.1834,-84.5333,77.25,49,20,13.8
130,Husavik,IS,2022-05-16 18:07:16,66.0449,-17.3389,56.68,55,81,9.82
131,Ancud,CL,2022-05-16 18:04:08,-41.8697,-73.8203,55.47,54,9,8.21
132,Atuona,PF,2022-05-16 18:05:00,-9.8,-139.0333,78.6,71,15,16.75
133,Ilulissat,GL,2022-05-16 18:07:17,69.2167,-51.1,32.02,55,0,6.91
134,Orikum,AL,2022-05-16 18:04:16,40.3253,19.4714,70.54,75,1,3.06
135,Hami,CN,2022-05-16 18:07:18,42.8,93.45,73.44,22,100,11.12
136,Saint George,US,2022-05-16 18:06:20,37.1041,-113.5841,93.63,7,0,3.0
137,Saskylakh,RU,2022-05-16 18:07:19,71.9167,114.0833,16.81,94,98,5.26
138,Levski,BG,2022-05-16 18:07:20,43.3667,25.1333,66.88,60,5,4.0
139,Jian,CN,2022-05-16 18:07:20,27.1172,114.9793,59.34,81,43,0.63
140,Sao Joao Da Barra,BR,2022-05-16 18:07:21,-21.6403,-41.0511,80.69,61,96,1.28
141,Strzelce Krajenskie,PL,2022-05-16 18:07:22,52.8773,15.5298,60.3,62,99,7.87
142,Aklavik,CA,2022-05-16 18:07:23,68.2191,-135.0107,31.93,92,95,12.39
143,Jalapa,MX,2022-05-16 18:07:23,19.5333,-96.9167,80.46,33,5,7.36
144,Ribeira Grande,PT,2022-05-16 18:07:24,38.5167,-28.7,61.2,63,40,24.16
145,Tuy Hoa,VN,2022-05-16 18:04:34,13.0833,109.3,77.72,93,100,5.93
146,Tammisaari,FI,2022-05-16 18:07:25,59.9736,23.4339,52.9,87,45,12.26
147,Ishigaki,JP,2022-05-16 18:07:26,24.3448,124.1572,70.57,88,100,21.23
148,Omsukchan,RU,2022-05-16 18:07:26,62.5333,155.8,29.32,98,100,6.46
149,Svetlogorsk,BY,2022-05-16 18:07:27,52.6333,29.7333,47.73,71,61,8.03
150,Boende,CD,2022-05-16 18:07:28,-0.2167,20.8667,70.32,97,100,2.73
151,Dimona,IL,2022-05-16 18:07:28,31.0667,35.0333,67.57,46,96,10.2
152,Sambava,MG,2022-05-16 18:07:29,-14.2667,50.1667,74.86,80,2,13.09
153,Ritchie,ZA,2022-05-16 18:07:29,-29.038,24.6028,65.01,38,0,10.63
154,Yumen,CN,2022-05-16 18:07:30,40.2833,97.2,56.61,9,78,5.53
155,Coruripe,BR,2022-05-16 18:07:30,-10.1256,-36.1756,82.09,75,51,8.72
156,Vila Do Maio,CV,2022-05-16 18:07:31,15.1333,-23.2167,86.79,83,75,15.82
157,Karia,NG,2022-05-16 18:07:32,11.7306,11.1629,95.5,13,74,10.74
158,Tasiilaq,GL,2022-05-16 18:07:32,65.6145,-37.6368,39.36,98,100,10.2
159,Hambantota,LK,2022-05-16 18:07:33,6.1241,81.1185,79.9,85,97,16.33
160,Flin Flon,CA,2022-05-16 18:07:33,54.7682,-101.865,47.1,44,77,6.29
161,Clyde River,CA,2022-05-16 18:07:34,70.4692,-68.5914,26.71,87,31,3.83
162,Geraldton,AU,2022-05-16 18:07:35,-28.7667,114.6,52.21,87,0,5.75
163,Piacabucu,BR,2022-05-16 18:07:36,-10.4056,-36.4344,82.9,71,56,8.9
164,Alofi,NU,2022-05-16 18:07:37,-19.0595,-169.9187,73.29,83,75,9.22
165,Shingu,JP,2022-05-16 18:07:37,33.7333,135.9833,59.58,87,100,3.62
166,Port Elizabeth,ZA,2022-05-16 18:07:38,-33.918,25.5701,75.09,82,0,1.99
167,Jashpurnagar,IN,2022-05-16 18:07:38,22.9,84.15,87.37,26,78,4.9
168,Woodward,US,2022-05-16 18:07:39,36.4337,-99.3904,81.97,39,0,5.75
169,La Macarena,CO,2022-05-16 18:07:40,2.1837,-73.7849,76.19,88,100,3.06
170,Ystad,SE,2022-05-16 18:07:40,55.4297,13.8204,59.74,72,99,5.97
171,San Pedro,PH,2022-05-16 18:07:41,14.35,121.0167,79.36,88,75,0.0
172,Banda Aceh,ID,2022-05-16 18:07:41,5.5577,95.3222,81.28,80,99,8.95
173,New Norfolk,AU,2022-05-16 18:07:42,-42.7826,147.0587,45.91,79,69,9.17
174,Kavaratti,IN,2022-05-16 18:07:43,10.5669,72.642,82.13,78,100,20.71
175,Kirakira,SB,2022-05-16 18:07:43,-10.4544,161.9205,78.3,84,87,3.06
176,Iracoubo,GF,2022-05-16 18:07:44,5.4802,-53.2011,83.28,76,100,11.81
177,Darhan,MN,2022-05-16 18:07:45,49.4867,105.9228,56.55,40,69,3.27
178,Udachnyy,RU,2022-05-16 18:07:46,66.4167,112.4,34.14,99,100,5.37
179,Kaeo,NZ,2022-05-16 18:07:46,-35.1,173.7833,63.32,95,49,6.35
180,Margate,GB,2022-05-16 18:07:47,51.3813,1.3862,64.11,83,14,14.29
181,Upernavik,GL,2022-05-16 18:07:47,72.7868,-56.1549,20.52,78,69,9.51
182,Georgetown,MY,2022-05-16 18:07:48,5.4112,100.3354,80.53,83,20,0.0
183,Talara,PE,2022-05-16 18:07:49,-4.5772,-81.2719,79.56,57,40,9.22
184,Terrace,CA,2022-05-16 18:04:14,54.5163,-128.6035,49.84,59,69,5.46
185,Kungurtug,RU,2022-05-16 18:07:50,50.5994,97.5228,52.52,57,100,1.97
186,Kahului,US,2022-05-16 18:07:50,20.8947,-156.47,78.82,64,0,3.0
187,San Patricio,US,2022-05-16 18:07:51,28.017,-97.5169,92.07,36,13,13.33
188,Pinega,RU,2022-05-16 18:07:51,64.7001,43.3936,37.74,71,66,11.21
189,Xining,CN,2022-05-16 18:07:52,36.6167,101.7667,48.94,41,27,2.93
190,Vanimo,PG,2022-05-16 18:07:53,-2.6741,141.3028,78.66,86,73,3.22
191,Boyolangu,ID,2022-05-16 18:07:54,-8.1181,111.8935,75.24,90,80,0.56
192,Alpena,US,2022-05-16 18:05:00,45.0617,-83.4327,62.92,63,100,17.27
193,Kalmar,SE,2022-05-16 18:07:55,56.6616,16.3616,50.97,60,93,3.0
194,Lac Du Bonnet,CA,2022-05-16 18:05:44,50.2536,-96.0612,45.14,65,100,8.23
195,Trofors,NO,2022-05-16 18:07:56,65.5333,13.4063,40.87,79,98,4.03
196,Faanui,PF,2022-05-16 18:07:56,-16.4833,-151.75,81.0,68,86,10.87
197,Prince Rupert,CA,2022-05-16 18:07:57,54.3161,-130.3201,46.49,71,100,11.5
198,Bogorodskoye,RU,2022-05-16 18:07:58,56.55,37.8833,43.43,87,89,11.36
199,Huarmey,PE,2022-05-16 18:07:58,-10.0681,-78.1522,71.49,69,85,10.65
200,Wilmington Island,US,2022-05-16 18:07:59,32.0036,-80.9737,89.98,56,40,6.15
201,Vila Velha,BR,2022-05-16 18:08:00,-20.3297,-40.2925,85.95,58,0,3.44
202,Simao,CN,2022-05-16 18:08:00,22.7886,100.9748,62.17,98,98,2.13
203,Acapulco,MX,2022-05-16 18:08:01,16.8634,-99.8901,87.62,58,20,9.22
204,Varfurile,RO,2022-05-16 18:08:02,46.3167,22.5167,61.47,77,48,2.42
205,Tuatapere,NZ,2022-05-16 18:08:02,-46.1333,167.6833,51.33,94,95,3.91
206,Victoria,HK,2022-05-16 18:07:43,22.2855,114.1577,69.33,83,96,5.99
207,Thunder Bay,CA,2022-05-16 18:08:03,48.4001,-89.3168,47.28,56,95,11.16
208,Bom Sucesso,BR,2022-05-16 18:08:04,-21.0331,-44.7581,69.01,75,66,10.27
209,Giehun,SL,2022-05-16 18:08:04,7.8833,-11.05,80.53,87,94,4.79
210,Uvat,RU,2022-05-16 18:08:05,59.1433,68.8953,51.19,92,100,4.12
211,Bilma,NE,2022-05-16 18:08:06,18.6853,12.9164,87.91,10,0,7.76
212,Areosa,PT,2022-05-16 18:08:06,41.7178,-8.8571,63.97,84,16,14.99
213,Vostok,RU,2022-05-16 18:08:07,46.4856,135.8833,37.27,73,26,4.18
214,Henties Bay,NA,2022-05-16 18:08:07,-22.116,14.2845,66.34,61,2,5.26
215,Khatanga,RU,2022-05-16 18:08:08,71.9667,102.5,26.31,91,98,9.75
216,Atambua,ID,2022-05-16 18:08:09,-9.1061,124.8925,71.1,85,15,4.79
217,Sola,VU,2022-05-16 18:08:09,-13.8833,167.55,79.47,78,75,16.4
218,Vondrozo,MG,2022-05-16 18:08:10,-22.8167,47.2833,60.78,99,81,3.31
219,Severodvinsk,RU,2022-05-16 18:08:10,64.5635,39.8302,41.11,70,55,15.39
220,Ucluelet,CA,2022-05-16 18:07:09,48.9329,-125.5528,52.09,78,70,8.57
221,Haverfordwest,GB,2022-05-16 18:08:11,51.8017,-4.9691,59.05,87,81,7.0
222,Grand Gaube,MU,2022-05-16 18:08:12,-20.0064,57.6608,74.37,72,50,4.0
223,Flinders,AU,2022-05-16 18:08:12,-34.5833,150.8552,58.37,71,6,5.01
224,Tessalit,ML,2022-05-16 18:06:22,20.1986,1.0114,101.71,11,24,7.43
225,Tiksi,RU,2022-05-16 18:08:14,71.6872,128.8694,19.35,95,100,11.77
226,Grindavik,IS,2022-05-16 18:08:14,63.8424,-22.4338,57.67,62,40,5.75
227,Nishihara,JP,2022-05-16 18:08:15,26.1842,127.7558,64.06,94,75,11.5
