City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
211,Carutapera,BR,-1.195,-46.02,77.11,88,93,6.55,overcast clouds
212,Yarada,IN,17.65,83.2667,89.92,66,40,11.5,scattered clouds
213,Tigil,RU,57.8,158.6667,48.6,63,96,2.46,overcast clouds
214,Saint-Philippe,RE,-21.3585,55.7679,71.19,80,76,14.12,light rain
215,Katsuura,JP,35.1333,140.3,62.82,84,100,7.99,overcast clouds
216,Aswan,EG,24.0934,32.907,78.1,22,0,11.5,clear sky
217,Bethel,US,41.3712,-73.414,61.48,83,0,8.05,clear sky
218,Eureka,US,40.8021,-124.1637,52.93,80,29,7.0,scattered clouds
219,Buala,SB,-8.145,159.5921,83.12,75,65,2.17,light rain
220,Bengkulu,ID,-3.8004,102.2655,84.76,67,94,7.0,overcast clouds
221,Pevek,RU,69.7008,170.3133,33.15,97,100,8.28,overcast clouds
222,Upernavik,GL,72.7868,-56.1549,5.63,95,23,7.38,few clouds
223,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.19,96,98,0.76,overcast clouds
224,Vondrozo,MG,-22.8167,47.2833,62.01,85,99,3.38,overcast clouds
225,Fort Nelson,CA,58.8053,-122.7002,47.79,100,100,0.0,overcast clouds
226,Hambantota,LK,6.1241,81.1185,82.74,94,40,10.36,scattered clouds
227,Inirida,CO,3.8653,-67.9239,73.17,99,100,0.98,overcast clouds
228,Ariquemes,BR,-9.9133,-63.0408,72.41,88,100,5.97,overcast clouds
229,Sobolevo,RU,54.4299,31.8996,44.29,71,10,10.63,clear sky
230,Gatton,AU,-27.55,152.2833,81.54,80,50,4.38,scattered clouds
231,Jalu,LY,29.0331,21.5482,76.08,30,0,4.29,clear sky
232,Binghamton,US,42.0987,-75.918,51.76,85,0,9.22,clear sky
233,Louis Trichardt,ZA,-23.0439,29.9032,55.85,88,96,6.51,overcast clouds
234,Paamiut,GL,61.994,-49.6678,33.75,83,40,11.68,scattered clouds
235,Pleasanton,US,37.6624,-121.8747,56.44,80,0,4.61,clear sky
236,Tingi,TZ,-11.3,35.0333,60.17,75,10,2.48,clear sky
237,Balkanabat,TM,39.5108,54.3671,76.89,44,10,8.1,clear sky
238,Bilibino,RU,68.0546,166.4372,39.36,89,96,2.26,overcast clouds
239,Henties Bay,NA,-22.116,14.2845,69.3,48,5,9.4,clear sky
240,Souillac,MU,-20.5167,57.5167,75.58,69,40,10.36,scattered clouds
241,Ahipara,NZ,-35.1667,173.1667,66.83,81,96,12.88,overcast clouds
242,Samana,DO,19.2056,-69.3369,73.96,91,92,3.74,overcast clouds
243,San Cristobal,VE,7.7669,-72.225,77.18,94,99,3.87,overcast clouds
244,Grandview,US,38.8858,-94.533,65.95,70,0,5.75,clear sky
245,Touros,BR,-5.1989,-35.4608,76.95,91,94,8.01,overcast clouds
246,Mayumba,GA,-3.432,10.6554,76.66,93,100,2.46,light rain
247,Cherskiy,RU,68.75,161.3,47.05,73,100,7.61,overcast clouds
248,Tulun,RU,54.5611,100.5792,70.11,36,74,10.16,broken clouds
249,Pisco,PE,-13.7,-76.2167,61.02,88,33,2.3,mist
250,Rio Brilhante,BR,-21.8019,-54.5464,47.32,73,5,7.34,clear sky
251,Sorland,NO,67.667,12.6934,39.06,61,94,5.06,overcast clouds
252,Santa Barbara,US,34.7333,-120.0343,55.6,88,100,8.05,overcast clouds
253,Sindor,RU,62.8629,51.8905,39.52,88,100,7.63,overcast clouds
254,Dangriga,BZ,16.9692,-88.2321,79.43,73,100,6.42,overcast clouds
255,Bay Roberts,CA,47.5999,-53.2648,38.34,87,98,1.01,overcast clouds
256,Sibolga,ID,1.7427,98.7792,86.27,62,100,5.3,overcast clouds
257,Anloga,GH,5.7947,0.8973,81.25,84,85,10.94,overcast clouds
258,Tocopilla,CL,-22.092,-70.1979,63.84,62,58,6.24,broken clouds
259,Kattivakkam,IN,13.2167,80.3167,91.49,76,96,13.24,overcast clouds
260,Lugovoy,KZ,42.9472,72.7644,73.9,46,17,4.12,few clouds
261,Ngunguru,NZ,-35.6167,174.5,68.11,75,98,11.41,overcast clouds
262,Flin Flon,CA,54.7682,-101.865,37.36,78,40,7.54,scattered clouds
263,Havre-Saint-Pierre,CA,50.2334,-63.5986,39.56,100,100,14.97,overcast clouds
264,Bathsheba,BB,13.2167,-59.5167,81.21,83,40,18.41,scattered clouds
265,Lompoc,US,34.6391,-120.4579,54.79,85,100,13.8,overcast clouds
266,Yantal,RU,56.8471,105.2542,66.25,47,74,14.52,broken clouds
267,Abalak,RU,58.1286,68.5944,53.33,86,100,3.91,overcast clouds
268,Kosikha,RU,53.3617,84.5822,76.91,35,50,11.74,scattered clouds
269,Ribeira Grande,PT,38.5167,-28.7,58.37,66,63,23.4,broken clouds
270,Jibuti,DJ,11.5,42.5,85.96,25,38,2.3,scattered clouds
271,Kyabe,TD,9.4515,18.9449,79.95,61,33,3.49,scattered clouds
272,Orbetello,IT,42.4408,11.2196,53.62,62,2,3.53,clear sky
273,Boden,SE,65.8252,21.6886,37.4,53,44,10.2,scattered clouds
274,Dakar,SN,14.6937,-17.4441,76.08,83,8,10.83,clear sky
275,Meadow Lake,US,34.8014,-106.5436,72.84,11,2,7.11,clear sky
276,Mar Del Plata,AR,-38.0023,-57.5575,54.95,81,100,23.02,light intensity drizzle
277,Lensk,RU,60.7253,114.9278,54.07,75,100,4.54,light rain
278,Parkes,AU,-33.1333,148.1833,63.36,48,0,8.57,clear sky
279,Bagdarin,RU,54.4333,113.6,63.95,21,87,8.68,overcast clouds
280,Kidal,ML,18.4411,1.4078,87.28,19,91,9.6,overcast clouds
281,Dewas,IN,22.9667,76.0667,89.78,23,51,12.73,broken clouds
282,Cam Ranh,VN,11.9214,109.1591,85.96,70,20,10.36,few clouds
283,Ampere,BR,-25.915,-53.4728,41.67,86,15,2.28,few clouds
284,Seydi,TM,39.4816,62.9137,87.48,16,65,6.29,broken clouds
285,Maningrida,AU,-12.0667,134.2667,86.34,53,9,11.95,clear sky
286,Trincomalee,LK,8.5711,81.2335,89.13,61,84,21.03,broken clouds
287,Richards Bay,ZA,-28.783,32.0377,64.27,91,18,6.69,few clouds
288,Damphu,BT,27.0721,90.1096,73.94,86,60,4.63,broken clouds
289,Kruisfontein,ZA,-34.0033,24.7314,63.9,30,0,12.15,clear sky
290,Fairbanks,US,64.8378,-147.7164,48.54,69,75,4.61,broken clouds
