City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
464,Kharan,PK,89.42,clear sky,28.5833,65.4167,Dil Aram Bangla
467,Robertsport,LR,80.38,light rain,6.7533,-11.3686,Kwepunha Retreat
471,Nhulunbuy,AU,86.61,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
473,Majene,ID,86.31,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
479,Atambua,ID,85.6,scattered clouds,-9.1061,124.8925,Kost Alfa Flat
487,Muisne,EC,77.14,overcast clouds,0.6,-80.0333,Quinta Samay
488,Dezful,IR,85.06,few clouds,32.3811,48.4058,مهمانپذیر خوزستان
489,Mount Isa,AU,80.37,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
492,Mabaruma,GY,75.61,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
493,Zharkent,KZ,76.48,scattered clouds,44.1628,80.0,гостиница Satti
500,Palu,ID,83.62,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
502,Mazagao,BR,82.45,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
503,Zaraza,VE,75.43,overcast clouds,9.3503,-65.3245,Hotel Zaraza
504,Destin,US,78.85,clear sky,30.3935,-86.4958,The Inn on Destin Harbor
511,Pringsewu,ID,89.64,overcast clouds,-5.3582,104.9744,Urban Style by Front One
520,Voh,NC,81.18,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
523,Nanakuli,US,78.75,overcast clouds,21.3906,-158.1547,Camp Pālehua
524,Pontian Kecil,MY,89.92,overcast clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
529,Samandag,TR,77.52,clear sky,36.0842,35.9771,Anadolu Palace Hotel
534,Conde,BR,76.46,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
545,Buraydah,SA,79.25,clear sky,26.326,43.975,Mövenpick Qassim
547,Kimbe,PG,84.2,light rain,-5.5502,150.1429,Kimbe Bay Hotel
552,Mogadishu,SO,82.27,scattered clouds,2.0371,45.3438,Hotel Juba
